날짜,요일,날씨,총계,평균기온(℃),강수량(mm)
05-28,금,맑음,36225,22.9,0.0
05-29,토,구름 많음,15590,21.0,3.5
05-30,일,구름 조금,3877,18.7,0.0
05-31,월,구름 조금,6274,20.0,0.0
06-01,수,맑음,17053,22.3,0.0
06-02,목,맑음,4831,23.1,0.0
06-03,금,구름 조금,4426,20.8,0.0
06-04,토,맑음,12333,20.7,0.0
06-05,일,맑음,16564,22.1,0.0
06-06,월,맑음,9282,21.5,0.0
06-07,화,맑음,3572,24.5,0.0
06-08,수,맑음,3123,25.6,0.0
06-09,목,구름 조금,2045,22.7,0.0
06-10,금,구름 많음,3588,19.7,4.3
06-11,토,구름 조금,8456,20.6,0.0
06-12,일,맑음,8738,21.2,0.0
06-13,월,구름 많음,4221,20.9,2.6
06-14,화,구름 조금,2084,20.9,1.2
06-15,수,맑음,829,24.6,0.0
06-16,목,맑음,2084,24.6,0.0
06-17,금,흐림,2456,23.6,18.0
06-18,토,구름 조금,6082,21.5,0.0
06-19,일,흐림,7232,17.5,18.5
06-20,월,구름 조금,1732,20.3,0.7
06-21,화,맑음,1506,22.5,0.0
06-22,수,구름 조금,1690,23.3,0.0
06-23,목,맑음,430,23.4,0.0
06-24,금,맑음,1439,25.2,0.0
06-25,토,맑음,5193,26.5,0.0
06-26,일,맑음,18829,25.9,0.0
06-27,월,비,459,24.3,103.0
06-28,화,흐림,404,22.6,19.1
06-29,수,맑음,239,26.0,0.0
06-30,목,맑음,108,26.5,0.0
07-01,금,구름 많음,1188,26.8,6.1
07-02,토,구름 많음,2745,26.9,6.3
07-03,일,비,1965,25.1,37.8
07-04,월,비,516,22.3,176.2
07-05,화,맑음,459,13.70737018425461,0.0
07-06,수,맑음,536,26.6,0.0
07-07,목,맑음,280,28.8,0.0
07-08,금,맑음,743,29.3,0.0
07-09,토,구름 조금,2469,29.3,0.0
07-10,일,구름 조금,1722,29.2,0.0
07-11,월,흐림,472,29.5,16.1
07-12,화,구름 조금,711,28.2,0.0
07-13,수,구름 조금,149,25.8,1.7
07-14,목,구름 조금,753,26.9,0.1
07-15,금,구름 조금,1243,29.2,0.0
07-16,토,흐림,2437,27.0,9.0
07-17,일,맑음,3223,26.8,0.0
07-18,월,비,5216,25.0,114.5
07-19,화,구름 조금,755,25.7,0.9
07-20,수,맑음,774,26.0,0.0
07-21,목,비,676,24.8,34.0
07-22,금,구름 조금,756,25.5,0.0
07-23,토,맑음,10918,26.8,0.0
07-24,일,맑음,3068,27.4,0.0
07-25,월,구름 조금,1208,27.1,1.1
07-26,화,흐림,833,23.2,10.4
07-27,수,구름 많음,1005,25.1,5.2
07-28,목,흐림,1014,24.8,9.9
07-29,금,구름 조금,854,25.0,1.2
07-30,토,맑음,1277,27.5,0.0
07-31,일,맑음,856,28.9,0.0
08-01,월,맑음,1417,29.3,0.0
08-02,화,맑음,938,29.7,0.0
08-03,수,맑음,1286,30.7,0.0
08-04,목,구름 조금,2637,30.9,1.0
08-05,금,비,1023,27.2,47.2
08-06,토,비,1584,28.6,30.0
08-07,일,비,1697,26.8,33.5
08-08,월,비,177,27.1,51.1
08-09,화,구름 조금,69,28.9,0.0
08-10,수,구름 조금,875,29.4,0.0
08-11,목,흐림,531,28.7,13.6
08-12,금,구름 조금,1521,28.9,0.9
08-13,토,비,1703,26.8,129.6
08-14,일,비,5632,25.1,123.1
08-15,월,흐림,4618,24.7,7.6
08-16,화,비,1531,25.0,38.8
08-17,수,맑음,1324,27.0,0.0
08-18,목,구름 많음,1640,25.8,4.0
08-19,금,구름 많음,1116,27.6,3.0
08-20,토,구름 조금,5437,28.1,0.9
08-21,일,구름 조금,4690,26.7,0.0
08-22,월,구름 조금,1408,26.0,0.0
08-23,화,맑음,1137,25.6,0.0
08-24,수,비,1568,26.0,66.1
08-25,목,구름 조금,803,28.2,0.0
08-26,금,맑음,1885,28.1,0.0
08-27,토,구름 많음,16188,26.8,3.2
08-28,일,구름 조금,14964,25.4,2.2
08-29,월,맑음,917,24.8,0.0
08-30,화,구름 조금,184,22.2,1.6
08-31,수,맑음,1678,23.8,0.0
09-01,목,흐림,2141,21.5,17.6
09-02,금,맑음,2584,22.6,0.0
09-03,토,구름 조금,13485,21.0,2.2
09-04,일,비,790,19.1,35.8
09-05,월,구름 조금,55,21.7,0.0
09-06,화,맑음,1340,24.0,0.0
09-07,수,맑음,2223,24.7,0.0
09-08,목,맑음,2057,24.2,0.0
09-09,금,비,10663,22.3,33.8
09-10,토,비,13924,19.2,120.0
09-11,일,비,16246,21.0,25.3
09-12,월,맑음,14399,22.8,0.0
09-13,화,맑음,2526,23.2,0.0
09-14,수,맑음,1606,24.3,0.0
09-15,목,맑음,2073,23.6,0.0
09-16,금,구름 조금,2332,23.3,0.1
09-17,토,맑음,7960,23.8,0.0
09-18,일,구름 조금,9012,24.3,0.0
09-19,월,구름 조금,1905,24.6,0.0
09-20,화,구름 조금,2651,25.2,0.1
09-21,수,흐림,2964,25.7,14.6
09-22,목,구름 많음,4536,25.6,4.3
09-23,금,맑음,3468,27.1,0.0
09-24,토,맑음,16093,24.6,0.0
09-25,일,맑음,13925,19.9,0.0
09-26,월,맑음,2946,19.4,0.0
09-27,화,맑음,7608,19.8,0.0
09-28,수,구름 많음,4835,17.5,3.3
09-29,목,맑음,2630,18.5,0.0
09-30,금,맑음,4460,19.6,0.0
10-01,토,맑음,13785,20.0,0.0
10-02,일,맑음,12071,20.9,0.0
10-03,월,맑음,560,20.4,0.0
10-04,화,맑음,1571,20.4,0.0
10-05,수,맑음,3310,20.7,0.0
10-06,목,맑음,2908,13.70737018425461,0.0
10-07,금,맑음,4548,20.9,0.0
10-08,토,흐림,17148,19.4,15.8
10-09,일,비,1749,21.4,76.0
10-10,월,흐림,3701,17.9,11.8
10-11,화,구름 조금,2339,16.6,0.1
10-12,수,구름 조금,3944,15.8,0.0
10-13,목,맑음,5192,14.3,0.0
10-14,금,맑음,5034,15.8,0.0
10-15,토,비,14951,13.1,20.4
10-16,일,구름 조금,13354,9.9,0.0
10-17,월,맑음,2944,11.1,0.0
10-18,화,맑음,2905,13.5,0.0
10-19,수,맑음,3187,16.3,0.0
10-20,목,맑음,4181,17.1,0.0
10-21,금,맑음,6339,18.2,0.0
10-22,토,맑음,14033,16.9,0.0
10-23,일,맑음,15734,11.2,0.0
10-24,월,맑음,3200,9.4,0.0
10-25,화,맑음,3097,10.5,0.0
10-26,수,맑음,7256,12.9,0.0
10-27,목,맑음,4482,14.0,0.0
10-28,금,맑음,5649,15.1,0.0
10-29,토,맑음,16415,14.0,0.0
10-30,일,맑음,28609,10.6,0.0
10-31,월,맑음,3917,11.3,0.0
11-01,월,맑음,3168,12.9,0.0
11-02,화,맑음,3353,13.2,0.0
11-03,수,맑음,3310,13.6,0.0
11-04,목,맑음,2533,14.8,0.0
11-05,금,맑음,3846,14.9,0.0
11-06,토,맑음,15092,14.9,0.0
11-07,일,맑음,16700,13.1,0.0
11-08,월,맑음,171,11.1,0.0
11-09,화,구름 조금,385,9.3,0.0
11-10,수,맑음,930,4.9,0.0
11-11,목,맑음,1515,6.5,0.0
11-12,금,맑음,1593,9.6,0.0
11-13,토,구름 조금,6639,11.4,0.0
11-14,일,맑음,8436,12.9,0.0
11-15,월,맑음,1680,11.4,0.0
11-16,화,맑음,3665,13.5,0.0
11-17,수,맑음,1631,15.6,0.0
11-18,목,비,1073,16.3,57.9
11-19,금,맑음,1748,10.3,0.0
11-20,토,맑음,4321,9.7,0.0
11-21,일,구름 조금,3040,8.1,1.6
11-22,월,맑음,683,8.5,0.0
11-23,화,맑음,436,10.2,0.0
11-24,수,맑음,523,11.0,0.0
11-25,목,맑음,665,12.9,0.0
11-26,금,맑음,16233,13.7,0.0
11-27,토,맑음,15992,11.8,0.0
11-28,일,구름 조금,4650,10.7,0.0
11-29,월,구름 조금,1137,10.8,0.0
11-30,화,맑음,141,9.4,0.0
12-01,수,구름 조금,321,12.3,1.7
12-02,목,맑음,386,6.7,0.0
12-03,금,맑음,361,5.4,0.0
12-04,토,흐림,1741,12.3,19.5
12-05,일,구름 많음,2830,6.9,3.8
12-06,월,맑음,696,-5.4,0.0
12-07,화,맑음,1776,13.70737018425461,0.0
12-08,수,맑음,744,-5.4,0.0
12-09,목,맑음,645,-2.5,0.0
12-10,금,구름 조금,404,2.1,1.1
12-11,토,맑음,2688,-3.5,0.0
12-12,일,맑음,2415,-3.1,0.0
12-13,월,구름 조금,267,0.9,0.1
12-14,화,구름 조금,568,4.9,0.1
12-15,수,맑음,339,3.7,0.0
12-16,목,구름 조금,355,4.5,0.0
12-17,금,맑음,343,2.6,0.0
12-18,토,맑음,312,1.6,0.0
12-19,일,구름 많음,573,2.0,5.4
12-20,월,구름 조금,471,0.0,0.6
12-21,화,맑음,460,-8.4,0.0
12-22,수,구름 조금,427,-4.5,2.4
12-23,목,맑음,430,-6.3,0.0
12-24,금,구름 조금,303,-7.0,0.2
12-25,토,맑음,390,-9.5,0.0
12-26,일,맑음,223,-7.0,0.0
12-27,월,맑음,12955,-3.2,0.0
12-28,화,구름 많음,317,-0.1,3.6
12-29,수,맑음,394,-7.8,0.0
12-30,목,맑음,420,-11.8,0.0
12-31,금,맑음,202,-8.4,0.0
